datetime,average
2015-03-03 17:39:56,274.06
2015-03-03 17:41:25,274.09
2015-03-03 17:42:54,273.78
2015-03-03 17:43:55,273.63
2015-03-03 17:44:56,273.59
2015-03-03 17:46:26,273.54
2015-03-03 17:47:55,273.78
2015-03-03 17:48:56,273.87
2015-03-03 17:50:25,274.15
2015-03-03 17:51:56,274.78
2015-03-03 17:53:25,275.03
2015-03-03 17:54:26,274.98
2015-03-03 17:55:56,275.93
2015-03-03 17:57:27,276.45
2015-03-03 17:58:57,275.97
2015-03-03 18:00:25,275.39
2015-03-03 18:01:27,275.38
2015-03-03 18:02:56,275.7
2015-03-03 18:04:27,275.64
2015-03-03 18:05:55,275.58
2015-03-03 18:06:56,275.38
2015-03-03 18:08:26,275.68
2015-03-03 18:09:57,276.73
2015-03-03 18:11:26,277.37
2015-03-03 18:12:55,276.96
2015-03-03 18:13:57,277.15
2015-03-03 18:15:27,277.55
2015-03-03 18:16:56,279.71
2015-03-03 18:17:57,280.73
2015-03-03 18:19:25,280.18
2015-03-03 18:20:56,280.03
2015-03-03 18:21:57,280.77
2015-03-03 18:23:26,281.53
2015-03-03 18:24:57,280.16
2015-03-03 18:26:25,279.37
2015-03-03 18:27:26,279.92
2015-03-03 18:28:54,280.93
2015-03-03 18:29:56,281.16
2015-03-03 18:30:58,280.86
2015-03-03 18:32:27,280.84
2015-03-03 18:33:56,280.83
2015-03-03 18:34:57,280.55
2015-03-03 18:36:27,280.17
2015-03-03 18:37:56,278.95
2015-03-03 18:38:58,279.15
2015-03-03 18:40:28,279.67
2015-03-03 18:41:57,279.7
2015-03-03 18:43:27,280.86
2015-03-03 18:44:58,281.2
2015-03-03 18:46:26,281.32
2015-03-03 18:47:28,280.75
2015-03-03 18:48:58,280.55
2015-03-03 18:50:27,280.65
2015-03-03 18:51:58,280.89
2015-03-03 18:53:27,280.91
2015-03-03 18:54:57,280.34
2015-03-03 18:56:28,280.92
2015-03-03 18:57:58,281.08
2015-03-03 18:59:27,281.21
2015-03-03 19:00:28,281.17
2015-03-03 19:01:58,281.23
2015-03-03 19:03:29,283.5
2015-03-03 19:04:59,283.09
2015-03-03 19:06:28,282.63
2015-03-03 19:07:58,282.42
2015-03-03 19:09:28,283.32
2015-03-03 19:10:59,283.56
2015-03-03 19:12:28,283.55
2015-03-03 19:13:57,283.54
2015-03-03 19:14:58,283.62
2015-03-03 19:16:27,283.3
2015-03-03 19:17:28,283.27
2015-03-03 19:18:58,282.82
2015-03-03 19:20:29,281.66
2015-03-03 19:21:58,280.79
2015-03-03 19:23:20,281.05
2015-03-03 19:24:58,281.7
2015-03-03 19:26:29,282.34
2015-03-03 19:27:59,282.05
2015-03-03 19:29:19,282.3
2015-03-03 19:30:29,282.28
2015-03-03 19:31:58,282.76
2015-03-03 19:33:00,282.64
2015-03-03 19:34:27,282.92
2015-03-03 19:35:28,283.26
2015-03-03 19:36:29,282.74
2015-03-03 19:37:59,282.66
2015-03-03 19:39:30,282.72
2015-03-03 19:40:50,283.34
2015-03-03 19:42:20,283.11
2015-03-03 19:43:49,283.32
2015-03-03 19:44:51,283.15
2015-03-03 19:46:29,282.84
2015-03-03 19:47:30,282.18
2015-03-03 19:48:50,281.59
2015-03-03 19:50:21,281.63
2015-03-03 19:51:51,282.36
2015-03-03 19:53:20,282.28
2015-03-03 19:54:59,282.38
2015-03-03 19:56:21,282.3
2015-03-03 19:57:51,282.0
2015-03-03 19:58:52,281.74
2015-03-03 20:00:20,281.93
2015-03-03 20:01:21,281.83
2015-03-03 20:02:52,281.59
2015-03-03 20:04:20,281.35
2015-03-03 20:05:22,281.5
2015-03-03 20:06:51,281.89
2015-03-03 20:07:52,281.35
2015-03-03 20:09:20,281.72
2015-03-03 20:10:50,282.18
2015-03-03 20:11:52,282.09
2015-03-03 20:13:21,282.23
2015-03-03 20:14:22,282.57
2015-03-03 20:15:50,282.17
2015-03-03 20:16:52,282.54
2015-03-03 20:18:22,282.51
2015-03-03 20:19:51,282.28
2015-03-03 20:21:20,282.81
2015-03-03 20:22:52,282.6
2015-03-03 20:24:21,282.58
2015-03-03 20:25:50,282.51
2015-03-03 20:26:52,282.55
2015-03-03 20:28:23,282.52
2015-03-03 20:29:52,282.69
2015-03-03 20:30:53,283.06
2015-03-03 20:32:22,282.98
2015-03-03 20:33:51,284.57
2015-03-03 20:35:23,285.39
2015-03-03 20:36:53,284.87
2015-03-03 20:38:22,284.54
2015-03-03 20:39:53,283.84
2015-03-03 20:41:23,283.77
2015-03-03 20:42:53,283.9
2015-03-03 20:44:22,284.14
2015-03-03 20:45:23,284.16
2015-03-03 20:46:53,283.91
2015-03-03 20:48:23,283.45
2015-03-03 20:49:52,282.86
2015-03-03 20:50:53,282.29
2015-03-03 20:52:21,282.25
2015-03-03 20:53:23,282.47
2015-03-03 20:54:51,282.81
2015-03-03 20:55:52,283.31
2015-03-03 20:57:22,283.02
2015-03-03 20:58:51,283.19
2015-03-03 20:59:52,283.16
2015-03-03 21:01:21,283.13
2015-03-03 21:02:22,283.8
2015-03-03 21:03:51,283.7
2015-03-03 21:05:20,283.58
2015-03-03 21:06:21,283.25
2015-03-03 21:07:51,283.34
2015-03-03 21:09:23,283.53
2015-03-03 21:10:53,283.8
2015-03-03 21:12:22,283.42
2015-03-03 21:13:51,283.72
2015-03-03 21:14:54,283.69
2015-03-03 21:16:22,283.62
2015-03-03 21:17:23,283.76
2015-03-03 21:18:24,284.97
2015-03-03 21:19:54,284.74
2015-03-03 21:21:23,284.71
2015-03-03 21:22:53,284.41
2015-03-03 21:23:54,284.24
2015-03-03 21:25:23,284.32
2015-03-03 21:26:52,284.42
2015-03-03 21:28:22,284.61
2015-03-03 21:29:53,287.82
2015-03-03 21:31:22,287.48
2015-03-03 21:32:23,287.03
2015-03-03 21:33:53,286.72
2015-03-03 21:35:23,287.16
2015-03-03 21:36:24,287.4
2015-03-03 21:37:54,287.34
2015-03-03 21:39:23,287.12
2015-03-03 21:40:53,286.57
2015-03-03 21:41:54,286.39
2015-03-03 21:43:22,286.24
2015-03-03 21:44:54,285.82
2015-03-03 21:46:24,284.81
2015-03-03 21:47:54,284.95
2015-03-03 21:49:22,284.79
2015-03-03 21:50:23,284.95
2015-03-03 21:51:24,285.3
2015-03-03 21:52:53,285.5
2015-03-03 21:54:22,285.38
2015-03-03 21:55:23,285.37
2015-03-03 21:56:53,285.45
2015-03-03 21:58:22,285.68
2015-03-03 21:59:53,285.61
2015-03-03 22:01:24,284.05
2015-03-03 22:02:53,283.36
2015-03-03 22:04:22,283.64
2015-03-03 22:05:23,283.76
2015-03-03 22:06:53,284.01
2015-03-03 22:08:24,283.95
2015-03-03 22:09:52,283.41
2015-03-03 22:10:53,283.3
2015-03-03 22:11:54,283.38
2015-03-03 22:12:55,283.24
2015-03-03 22:14:24,283.32
2015-03-03 22:15:54,283.33
2015-03-03 22:16:56,282.89
2015-03-03 22:18:26,282.83
2015-03-03 22:19:54,283.13
2015-03-03 22:20:55,283.59
2015-03-03 22:21:56,283.32
2015-03-03 22:23:25,283.57
2015-03-03 22:24:56,283.48
2015-03-03 22:26:25,283.84
2015-03-03 22:27:56,283.7
2015-03-03 22:29:25,284.07
2015-03-03 22:30:26,284.29
2015-03-03 22:31:55,284.12
2015-03-03 22:32:56,283.99
2015-03-03 22:34:25,283.92
2015-03-03 22:35:56,283.9
2015-03-03 22:37:25,284.1
2015-03-03 22:38:54,284.03
2015-03-03 22:39:55,284.0
2015-03-03 22:41:26,284.12
2015-03-03 22:42:56,283.86
2015-03-03 22:44:25,283.88
2015-03-03 22:45:56,283.89
2015-03-03 22:47:25,283.76
2015-03-03 22:48:26,284.07
2015-03-03 22:49:55,283.99
2015-03-03 22:51:25,284.03
2015-03-03 22:52:53,283.86
2015-03-03 22:53:54,284.0
2015-03-03 22:55:26,283.78
2015-03-03 22:56:54,283.68
2015-03-03 22:57:55,283.08
2015-03-03 22:58:56,282.96
2015-03-03 23:00:26,282.3
2015-03-03 23:01:27,281.37
2015-03-03 23:02:57,281.36
2015-03-03 23:04:24,281.24
2015-03-03 23:05:27,281.17
2015-03-03 23:06:55,281.03
2015-03-03 23:07:56,281.31
2015-03-03 23:09:26,281.24
2015-03-03 23:10:56,281.5
2015-03-03 23:12:25,281.54
2015-03-03 23:13:27,281.55
2015-03-03 23:14:56,281.51
2015-03-03 23:15:57,281.42
2015-03-03 23:17:28,281.61
2015-03-03 23:18:58,281.69
2015-03-03 23:20:27,281.64
2015-03-03 23:21:56,281.57
2015-03-03 23:23:28,281.7
2015-03-03 23:24:58,281.85
2015-03-03 23:26:27,281.73
2015-03-03 23:27:29,281.91
2015-03-03 23:28:58,282.14
2015-03-03 23:30:28,282.12
2015-03-03 23:31:58,281.38
2015-03-03 23:32:59,281.64
2015-03-03 23:34:29,280.73
2015-03-03 23:35:58,280.53
2015-03-03 23:37:28,280.36
2015-03-03 23:38:29,281.24
2015-03-03 23:39:59,281.69
2015-03-03 23:41:29,281.59
2015-03-03 23:42:59,281.44
2015-03-03 23:44:28,281.95
2015-03-03 23:45:29,281.77
2015-03-03 23:46:59,282.09
2015-03-03 23:48:29,281.94
2015-03-03 23:49:57,281.92
2015-03-03 23:51:28,282.13
2015-03-03 23:52:59,282.0
2015-03-03 23:54:18,282.13
2015-03-03 23:55:19,282.19
2015-03-03 23:56:29,282.33
2015-03-03 23:57:50,282.39
2015-03-03 23:58:51,282.39
2015-03-04 00:00:20,282.05
2015-03-04 00:01:28,282.32
2015-03-04 00:02:29,282.05
2015-03-04 00:03:59,282.03
2015-03-04 00:05:00,282.17
2015-03-04 00:06:29,282.2
2015-03-04 00:07:59,282.09
2015-03-04 00:09:20,282.11
2015-03-04 00:10:29,282.01
2015-03-04 00:11:51,282.09
2015-03-04 00:13:22,282.03
2015-03-04 00:14:51,282.08
2015-03-04 00:16:22,282.07
2015-03-04 00:17:51,282.49
2015-03-04 00:19:22,282.45
2015-03-04 00:20:51,282.77
2015-03-04 00:22:21,282.82
2015-03-04 00:23:52,282.79
2015-03-04 00:25:21,282.51
2015-03-04 00:26:51,282.34
2015-03-04 00:27:53,282.26
2015-03-04 00:29:22,282.35
2015-03-04 00:30:53,282.16
2015-03-04 00:32:22,282.1
2015-03-04 00:33:23,282.11
2015-03-04 00:34:53,282.03
2015-03-04 00:36:22,281.94
2015-03-04 00:37:23,282.1
2015-03-04 00:38:52,282.39
2015-03-04 00:40:23,282.15
2015-03-04 00:41:52,282.63
2015-03-04 00:43:24,282.69
2015-03-04 00:44:54,282.83
2015-03-04 00:46:23,282.81
2015-03-04 00:47:52,283.04
2015-03-04 00:49:22,283.49
2015-03-04 00:50:24,283.53
2015-03-04 00:51:53,283.3
2015-03-04 00:52:54,283.32
2015-03-04 00:54:22,283.19
2015-03-04 00:55:52,283.11
2015-03-04 00:57:22,282.77
2015-03-04 00:58:24,282.87
2015-03-04 00:59:53,282.9
2015-03-04 01:01:24,283.47
2015-03-04 01:02:53,283.72
2015-03-04 01:04:22,283.54
2015-03-04 01:05:24,283.54
2015-03-04 01:06:53,283.55
2015-03-04 01:08:23,283.49
2015-03-04 01:09:53,283.82
2015-03-04 01:11:23,283.56
2015-03-04 01:12:52,283.69
2015-03-04 01:13:53,283.77
2015-03-04 01:14:54,283.76
2015-03-04 01:16:24,283.73
2015-03-04 01:17:53,283.69
2015-03-04 01:18:54,283.64
2015-03-04 01:19:55,283.67
2015-03-04 01:21:25,283.38
2015-03-04 01:22:53,283.5
2015-03-04 01:24:24,283.39
2015-03-04 01:25:54,283.37
2015-03-04 01:27:24,283.49
2015-03-04 01:28:25,283.57
2015-03-04 01:29:54,283.29
2015-03-04 01:30:55,283.39
2015-03-04 01:32:23,283.48
2015-03-04 01:33:25,283.52
2015-03-04 01:34:54,283.78
2015-03-04 01:35:56,283.8
2015-03-04 01:36:57,283.83
2015-03-04 01:38:27,283.79
2015-03-04 01:39:57,283.84
2015-03-04 01:41:26,283.8
2015-03-04 01:42:55,283.64
2015-03-04 01:44:26,283.78
2015-03-04 01:45:56,283.66
2015-03-04 01:47:26,283.64
2015-03-04 01:48:56,283.76
2015-03-04 01:50:26,283.67
2015-03-04 01:51:56,283.81
2015-03-04 01:53:27,283.68
2015-03-04 01:54:57,283.91
2015-03-04 01:56:27,283.74
2015-03-04 01:57:57,283.87
2015-03-04 01:59:26,283.8
2015-03-04 02:00:27,283.61
2015-03-04 02:01:56,283.48
2015-03-04 02:03:27,283.42
2015-03-04 02:04:58,283.45
2015-03-04 02:06:27,283.59
2015-03-04 02:07:58,283.41
2015-03-04 02:09:27,283.46
2015-03-04 02:10:56,283.23
2015-03-04 02:11:57,282.87
2015-03-04 02:13:27,282.76
2015-03-04 02:14:57,282.85
2015-03-04 02:16:26,283.01
2015-03-04 02:17:27,282.87
2015-03-04 02:18:56,282.76
2015-03-04 02:19:58,282.68
2015-03-04 02:21:28,282.66
2015-03-04 02:22:49,282.69
2015-03-04 02:23:51,282.8
2015-03-04 02:25:29,282.88
2015-03-04 02:26:51,282.85
2015-03-04 02:28:20,282.73
2015-03-04 02:29:29,282.74
2015-03-04 02:30:59,282.74
2015-03-04 02:32:21,282.66
2015-03-04 02:33:50,282.86
2015-03-04 02:35:19,283.35
2015-03-04 02:36:21,283.23
2015-03-04 02:37:59,283.13
2015-03-04 02:39:21,283.18
2015-03-04 02:40:49,283.12
2015-03-04 02:41:59,283.17
2015-03-04 02:43:29,283.01
2015-03-04 02:44:50,282.97
2015-03-04 02:46:19,283.06
2015-03-04 02:47:29,283.09
2015-03-04 02:48:58,283.08
2015-03-04 02:50:20,283.09
2015-03-04 02:51:29,283.05
2015-03-04 02:52:50,283.25
2015-03-04 02:53:59,283.36
2015-03-04 02:55:29,283.63
2015-03-04 02:56:50,283.29
2015-03-04 02:58:20,282.96
2015-03-04 02:59:59,282.18
2015-03-04 03:01:21,280.71
2015-03-04 03:02:50,279.49
2015-03-04 03:03:51,279.64
2015-03-04 03:05:21,277.7
2015-03-04 03:06:50,277.29
2015-03-04 03:08:21,279.0
2015-03-04 03:09:52,279.5
2015-03-04 03:11:21,279.38
2015-03-04 03:12:50,278.73
2015-03-04 03:13:51,279.46
2015-03-04 03:15:23,279.63
2015-03-04 03:16:51,279.56
2015-03-04 03:17:53,279.35
2015-03-04 03:19:21,279.67
2015-03-04 03:20:22,279.5
2015-03-04 03:21:52,280.04
2015-03-04 03:23:21,279.59
2015-03-04 03:24:51,279.69
2015-03-04 03:26:23,280.1
2015-03-04 03:27:52,280.0
2015-03-04 03:29:21,279.82
2015-03-04 03:30:22,279.76
2015-03-04 03:31:51,279.59
2015-03-04 03:33:21,279.47
2015-03-04 03:34:23,278.99
2015-03-04 03:35:52,278.95
2015-03-04 03:36:53,279.16
2015-03-04 03:38:23,279.03
2015-03-04 03:39:53,278.79
2015-03-04 03:40:54,279.04
2015-03-04 03:42:22,279.15
2015-03-04 03:43:24,279.13
2015-03-04 03:44:54,279.14
2015-03-04 03:46:23,278.93
2015-03-04 03:47:54,279.01
2015-03-04 03:49:22,278.77
2015-03-04 03:50:24,278.8
2015-03-04 03:51:53,278.93
2015-03-04 03:52:54,279.06
2015-03-04 03:54:23,279.23
2015-03-04 03:55:52,279.09
2015-03-04 03:57:23,278.91
2015-03-04 03:58:53,278.86
2015-03-04 03:59:54,278.83
2015-03-04 04:01:24,278.96
2015-03-04 04:02:52,278.94
2015-03-04 04:03:53,279.11
2015-03-04 04:05:23,278.96
2015-03-04 04:06:53,278.61
2015-03-04 04:08:22,278.67
2015-03-04 04:09:52,278.58
2015-03-04 04:10:53,278.68
2015-03-04 04:12:23,278.65
2015-03-04 04:13:53,278.72
2015-03-04 04:14:54,278.54
2015-03-04 04:16:24,278.67
2015-03-04 04:17:55,278.68
2015-03-04 04:19:25,278.91
2015-03-04 04:20:54,278.89
2015-03-04 04:22:23,278.93
2015-03-04 04:23:53,279.01
2015-03-04 04:24:54,279.11
2015-03-04 04:25:55,279.14
2015-03-04 04:26:56,279.08
2015-03-04 04:28:24,278.94
2015-03-04 04:29:25,279.07
2015-03-04 04:30:56,279.16
2015-03-04 04:32:24,279.37
2015-03-04 04:33:25,279.56
2015-03-04 04:34:54,280.31
2015-03-04 04:36:26,280.27
2015-03-04 04:37:55,280.35
2015-03-04 04:39:25,280.25
2015-03-04 04:40:54,280.32
2015-03-04 04:41:55,280.25
2015-03-04 04:42:56,280.48
2015-03-04 04:44:26,280.41
2015-03-04 04:45:55,280.67
2015-03-04 04:46:57,280.75
2015-03-04 04:48:25,280.63
2015-03-04 04:49:27,280.66
2015-03-04 04:50:55,280.99
2015-03-04 04:51:56,280.96
2015-03-04 04:53:27,281.0
2015-03-04 04:54:57,281.91
2015-03-04 04:55:59,281.93
2015-03-04 04:57:27,282.06
2015-03-04 04:58:28,282.12
2015-03-04 04:59:58,281.93
2015-03-04 05:01:27,282.06
2015-03-04 05:02:58,282.52
2015-03-04 05:04:28,282.39
2015-03-04 05:05:58,282.52
2015-03-04 05:07:29,281.9
2015-03-04 05:08:57,281.73
2015-03-04 05:09:59,281.8
2015-03-04 05:11:28,281.81
2015-03-04 05:12:57,281.74
2015-03-04 05:13:59,281.65
2015-03-04 05:15:27,281.6
2015-03-04 05:16:28,281.44
2015-03-04 05:17:29,281.67
2015-03-04 05:18:58,281.54
2015-03-04 05:20:28,281.56
2015-03-04 05:21:59,281.3
2015-03-04 05:23:20,281.21
2015-03-04 05:24:50,281.17
2015-03-04 05:26:19,280.93
2015-03-04 05:27:29,280.79
2015-03-04 05:28:59,280.51
2015-03-04 05:30:29,280.85
2015-03-04 05:31:51,281.32
2015-03-04 05:33:21,281.39
2015-03-04 05:34:52,281.52
2015-03-04 05:35:53,281.35
2015-03-04 05:37:22,281.29
2015-03-04 05:38:52,281.3
